rotulo fase id_evento id_estrutura tempo endereco tamanho
L 0 2 0 0.075953978 0 32
L 0 3 0 0.075968588 0 32
L 0 4 0 0.075972267 1 32
L 0 5 0 0.075973355 2 32
L 0 6 0 0.075974888 3 32
L 0 7 0 0.076177138 1 32
L 0 8 0 0.076179946 0 32
L 0 9 0 0.076183573 1 32
L 0 10 0 0.076185137 2 32
L 0 11 0 0.076186795 3 32
L 0 12 0 0.076986394 2 32
L 0 13 0 0.076996134 0 32
L 0 14 0 0.077001283 1 32
L 0 15 0 0.077002920 2 32
L 0 16 0 0.077005407 3 32
L 0 17 0 0.077181484 3 32
L 0 18 0 0.077184043 0 32
L 0 19 0 0.077187089 1 32
L 0 20 0 0.077188105 2 32
L 0 21 0 0.077190706 3 32
L 0 22 0 0.078327698 4 32
L 0 23 0 0.078342111 0 32
L 0 24 0 0.078349178 1 32
L 0 25 0 0.078350680 2 32
L 0 26 0 0.078352846 3 32
L 0 27 0 0.078462255 5 32
L 0 28 0 0.078464338 0 32
L 0 29 0 0.078466586 1 32
L 0 30 0 0.078467478 2 32
L 0 31 0 0.078468400 3 32
L 0 32 0 0.078566048 6 32
L 0 33 0 0.078569178 0 32
L 0 34 0 0.078570784 1 32
L 0 35 0 0.078571633 2 32
L 0 36 0 0.078572628 3 32
L 0 37 0 0.078631089 7 32
L 0 38 0 0.078632146 0 32
L 0 39 0 0.078633907 1 32
L 0 40 0 0.078634757 2 32
L 0 41 0 0.078635679 3 32
L 0 42 0 0.078744757 8 32
L 0 43 0 0.078748352 0 32
L 0 44 0 0.078750362 1 32
L 0 45 0 0.078751502 2 32
L 0 46 0 0.078753139 3 32
L 0 47 0 0.079258634 9 32
L 0 48 0 0.079266405 0 32
L 0 49 0 0.079270488 1 32
L 0 50 0 0.079271493 2 32
L 0 51 0 0.079273431 3 32
L 0 52 0 0.079328824 10 32
L 0 53 0 0.079329777 0 32
L 0 54 0 0.079331321 1 32
L 0 55 0 0.079332326 2 32
L 0 56 0 0.079334150 3 32
L 0 57 0 0.079383420 11 32
L 0 58 0 0.079384321 0 32
L 0 59 0 0.079386010 1 32
L 0 60 0 0.079386974 2 32
L 0 61 0 0.079388476 3 32
L 0 62 0 0.079857186 12 32
L 0 63 0 0.079863900 0 32
L 0 64 0 0.079867475 1 32
L 0 65 0 0.079868843 2 32
L 0 66 0 0.079870563 3 32
L 0 67 0 0.080644831 13 32
L 0 68 0 0.080656405 0 32
L 0 69 0 0.080663327 1 32
L 0 70 0 0.080664384 2 32
L 0 71 0 0.080665834 3 32
L 0 72 0 0.080817260 14 32
L 0 73 0 0.080819747 0 32
L 0 74 0 0.080821550 1 32
L 0 75 0 0.080822617 2 32
L 0 76 0 0.080824223 3 32
L 0 77 0 0.085201021 15 32
L 0 78 0 0.085213341 0 32
L 0 79 0 0.085219051 1 32
L 0 80 0 0.085220180 2 32
L 0 81 0 0.085221921 3 32
L 0 82 0 0.085344655 16 32
L 0 83 0 0.085347619 0 32
L 0 84 0 0.085349235 1 32
L 0 85 0 0.085350002 2 32
L 0 86 0 0.085351297 3 32
L 0 87 0 0.091258596 17 32
L 0 88 0 0.091272170 0 32
L 0 89 0 0.091279486 1 32
L 0 90 0 0.091280729 2 32
L 0 91 0 0.091282698 3 32
L 0 92 0 0.091474234 18 32
L 0 93 0 0.091477280 0 32
L 0 94 0 0.091481145 1 32
L 0 95 0 0.091482295 2 32
L 0 96 0 0.091483808 3 32
L 0 97 0 0.092514994 19 32
L 0 98 0 0.092527459 0 32
L 0 99 0 0.092533770 1 32
L 0 100 0 0.092534795 2 32
L 0 101 0 0.092536640 3 32
L 0 102 0 0.095143012 20 32
L 0 103 0 0.095156265 0 32
L 0 104 0 0.095162969 1 32
L 0 105 0 0.095164305 2 32
L 0 106 0 0.095165373 3 32
L 0 107 0 0.095437492 21 32
L 0 108 0 0.095441419 0 32
L 0 109 0 0.095444061 1 32
L 0 110 0 0.095444952 2 32
