Atributo,NumDados,Tempo_Relogio(ms),Tempo_CPU_Usuario(ms),Tempo_CPU_Sistema(ms)
0,1000,1.56186,1.4116,1.4169
1,1000,2.80488,2.535,2.5442
2,1000,4.51886,4.0853,4.0992
3,1000,5.91276,5.3474,5.364
4,1000,7.12251,6.4434,6.4614
5,1000,8.51805,7.7043,7.7271
6,1000,9.82251,8.8863,8.9106
7,1000,11.0034,9.9558,9.9816
8,1000,12.6066,11.4075,11.4365
9,1000,14.5034,13.1265,13.158
10,1000,15.751,14.2566,14.2898
11,1000,17.9546,16.2524,16.2878
12,1000,20.0724,18.1685,18.2086
13,1000,21.4095,19.3768,19.4216
14,1000,23.1787,20.9786,21.0251
15,1000,24.3327,22.0232,22.0718
16,1000,25.4805,23.062,23.1128
17,1000,27.001,24.4377,24.4921
18,1000,28.1402,25.4697,25.5255
19,1000,29.2001,26.4292,26.4866
20,1000,30.5658,27.6646,27.7256
21,1000,31.7035,28.6947,28.7575
22,1000,32.8462,29.7292,29.7939
23,1000,34.2733,31.0216,31.0885
24,1000,35.416,32.0558,32.125
25,1000,36.5637,33.0946,33.1661
26,1000,38.074,34.46,34.5365
27,1000,39.2684,35.5438,35.62
28,1000,40.4141,36.5809,36.6593
29,1000,41.8581,37.8868,37.9694
30,1000,43.0212,38.9399,39.0245
31,1000,44.1933,40.0003,40.0878
32,1000,45.7953,41.4515,41.5416
33,1000,47.0049,42.5467,42.6388
34,1000,48.1551,43.5879,43.6821
35,1000,49.683,44.9691,45.0686
36,1000,50.8377,46.0148,46.1159
37,1000,52.1727,47.2236,47.3268
38,1000,53.7235,48.6263,48.734
39,1000,54.8838,49.6775,49.7865
40,1000,55.9705,50.6614,50.7721
41,1000,57.5019,52.0477,52.1614
42,1000,58.8734,53.2898,53.4058
43,1000,60.2093,54.5021,54.618
44,1000,61.7598,55.9062,56.0249
45,1000,63.0583,57.0822,57.203
46,1000,64.8253,58.6804,58.8065
47,1000,66.6838,60.366,60.4931
48,1000,68.22,61.7579,61.8872
49,1000,69.6057,63.0132,63.1442
50,1000,70.9047,64.1896,64.3225
51,1000,72.5575,65.6861,65.822
52,1000,73.8885,66.8908,67.0295
53,1000,75.1568,68.0379,68.1797
54,1000,76.8104,69.5342,69.6802
55,1000,78.0782,70.6826,70.8303
56,1000,79.4567,71.9324,72.0813
57,1000,80.8467,73.1925,73.3424
58,1000,82.3014,74.5105,74.6616
59,1000,85.6492,77.5489,77.7018
60,1000,87.3469,79.0874,79.2421
61,1000,90.1239,81.6046,81.763
62,1000,91.5952,82.9369,83.0979
63,1000,93.5302,84.6895,84.8544
64,1000,95.9718,86.9004,87.0703
65,1000,97.6165,88.3897,88.5622
66,1000,99.2058,89.83,90.0045
67,1000,100.764,91.2404,91.4187
68,1000,102.44,92.7608,92.9403
69,1000,103.701,93.9027,94.0837
70,1000,105.862,95.8596,96.0427
71,1000,107.377,97.2326,97.4168
72,1000,109.15,98.837,99.0252
73,1000,111.122,100.625,100.815
74,1000,112.567,101.935,102.126
75,1000,114.105,103.326,103.521
76,1000,115.373,104.473,104.671
77,1000,116.894,105.849,106.051
78,1000,118.081,106.923,107.127
79,1000,119.223,107.957,108.163
80,1000,120.543,109.153,109.36
81,1000,121.685,110.184,110.395
82,1000,123.097,111.461,111.676
83,1000,124.649,112.868,113.083
84,1000,126.147,114.226,114.442
85,1000,127.57,115.512,115.732
86,1000,128.798,116.626,116.847
87,1000,130.025,117.737,117.96
88,1000,132.014,119.538,119.765
89,1000,133.136,120.553,120.782
90,1000,134.266,121.575,121.807
91,1000,136.037,123.179,123.413
92,1000,137.374,124.389,124.626
93,1000,138.667,125.56,125.799
94,1000,140.176,126.926,127.167
95,1000,141.532,128.154,128.397
96,1000,142.74,129.246,129.493
97,1000,144.074,130.452,130.702
98,1000,145.412,131.664,131.916
99,1000,146.779,132.9,133.156
