Atributo,NumDados,Tempo_Relogio(ms),Tempo_CPU_Usuario(ms),Tempo_CPU_Sistema(ms)
0,1000,0.598704,0.5405,0.5399
1,1000,1.13007,1.0214,1.0208
2,1000,1.6831,1.522,1.5212
3,1000,3.05638,2.7651,2.7666
4,1000,3.45482,3.1253,3.1267
5,1000,3.85553,3.487,3.4889
6,1000,4.25028,3.8437,3.8452
7,1000,4.62727,4.1846,4.1858
8,1000,5.03865,4.5567,4.5577
9,1000,5.4561,4.933,4.9343
10,1000,5.85141,5.2902,5.2915
11,1000,6.4833,5.8593,5.8629
12,1000,7.41331,6.6993,6.7043
13,1000,7.83109,7.0764,7.0815
14,1000,8.56298,7.7368,7.744
15,1000,8.93074,8.069,8.0761
16,1000,9.30466,8.4071,8.414
17,1000,9.67719,8.7438,8.7506
18,1000,10.034,9.0662,9.073
19,1000,10.4061,9.4028,9.4094
20,1000,10.8579,9.8108,9.8178
21,1000,11.2112,10.1302,10.1369
22,1000,11.5684,10.4531,10.4596
23,1000,11.9764,10.8209,10.8279
24,1000,12.3392,11.1486,11.1555
25,1000,12.6889,11.4647,11.4714
26,1000,13.0607,11.8008,11.8074
27,1000,13.417,12.1229,12.1294
28,1000,13.7736,12.4453,12.4516
29,1000,14.1605,12.7953,12.8013
30,1000,14.5196,13.1199,13.1256
31,1000,14.8694,13.4362,13.4417
32,1000,15.2464,13.7771,13.7824
33,1000,15.607,14.1031,14.1081
34,1000,15.9545,14.4173,14.4221
35,1000,16.332,14.7585,14.7631
36,1000,16.6978,15.0892,15.0935
37,1000,17.0552,15.4121,15.4164
38,1000,17.4739,15.79,15.7949
39,1000,17.8352,16.1164,16.121
40,1000,18.1833,16.4311,16.4354
41,1000,19.0144,17.1815,17.188
42,1000,19.4493,17.575,17.5813
43,1000,19.8731,17.9585,17.9645
44,1000,20.3473,18.3875,18.3935
45,1000,20.7662,18.7666,18.7723
46,1000,21.368,19.3107,19.3168
47,1000,22.1503,20.0184,20.0255
48,1000,22.6492,20.4698,20.4769
49,1000,23.0584,20.8395,20.8466
50,1000,23.5176,21.2546,21.2618
51,1000,23.9969,21.6873,21.6949
52,1000,24.3758,22.0297,22.0373
53,1000,24.7821,22.3972,22.4047
54,1000,25.3181,22.8814,22.8894
55,1000,25.6902,23.2178,23.2255
56,1000,26.0772,23.5678,23.5751
57,1000,26.4563,23.9106,23.9176
58,1000,26.8874,24.2999,24.3074
59,1000,27.3895,24.7536,24.7615
60,1000,27.947,25.2577,25.2653
61,1000,28.4844,25.7433,25.7505
62,1000,28.9685,26.1798,26.1881
63,1000,29.411,26.5793,26.5883
64,1000,30.5083,27.5687,27.5808
65,1000,31.0218,28.0335,28.0454
66,1000,31.54,28.5025,28.5142
67,1000,31.9936,28.9129,28.9244
68,1000,32.5006,29.3716,29.3831
69,1000,32.9331,29.7623,29.7741
70,1000,34.0843,30.803,30.8171
71,1000,34.4851,31.1654,31.1792
72,1000,34.9607,31.5945,31.6087
73,1000,35.4936,32.0762,32.0907
74,1000,35.9737,32.51,32.5249
75,1000,36.7382,33.1991,33.2166
76,1000,37.2244,33.6384,33.6563
77,1000,37.8278,34.1843,34.2019
78,1000,38.2321,34.5499,34.5673
79,1000,38.6022,34.8846,34.9016
80,1000,39.0301,35.2703,35.2879
81,1000,39.3902,35.5959,35.6133
82,1000,39.8222,35.9858,36.0037
83,1000,40.3442,36.4564,36.4754
84,1000,40.7967,36.8653,36.8842
85,1000,41.2322,37.2585,37.2777
86,1000,41.6323,37.6203,37.6392
87,1000,41.9949,37.9481,37.9668
88,1000,42.3539,38.2726,38.2911
89,1000,42.7111,38.5955,38.6137
90,1000,43.0524,38.9041,38.922
91,1000,43.8114,39.59,39.6089
92,1000,44.2107,39.9514,39.9705
93,1000,44.6325,40.332,40.3513
94,1000,45.0571,40.7162,40.7358
95,1000,45.4667,41.0865,41.1059
96,1000,45.8699,41.4511,41.4703
97,1000,46.2713,41.814,41.833
98,1000,46.6869,42.1894,42.2085
99,1000,47.0815,42.546,42.5651
