n,Resultado,Tempo_Relogio(ms),Tempo_CPU_Usuario(ms),Tempo_CPU_Sistema(ms)
0,Iteracao 0,0.009175,0.0086,0.0086
1,Iteracao 1,0.006131,0.0056,0.0056
2,Iteracao 2,0.002915,0.0027,0.0026
3,Iteracao 3,0.003883,0.0037,0.0036
4,Iteracao 4,0.00313,0.0029,0.0028
5,Iteracao 5,0.006432,0.006,0.006
6,Iteracao 6,0.002216,0.0021,0.002
7,Iteracao 7,0.005819,0.0054,0.0054
8,Iteracao 8,0.002108,0.0019,0.0019
9,Iteracao 9,0.011262,0.0105,0.0105
10,Iteracao 10,0.005475,0.0051,0.005
11,Iteracao 11,0.005776,0.0054,0.0053
12,Iteracao 12,0.002829,0.0026,0.0026
13,Iteracao 13,0.001915,0.0017,0.0018
14,Iteracao 14,0.009326,0.0087,0.0086
15,Iteracao 15,0.004034,0.0037,0.0037
16,Iteracao 16,0.002281,0.0021,0.002
17,Iteracao 17,0.002291,0.0022,0.0021
18,Iteracao 18,0.002614,0.0024,0.0024
19,Iteracao 19,0.002398,0.0022,0.0022
20,Iteracao 20,0.002463,0.0023,0.0022
21,Iteracao 21,0.005314,0.005,0.0049
22,Iteracao 22,0.005023,0.0047,0.0046
23,Iteracao 23,0.002334,0.0021,0.0021
24,Iteracao 24,0.002904,0.0027,0.0027
25,Iteracao 25,0.001968,0.0018,0.0018
26,Iteracao 26,0.00654,0.0061,0.0061
27,Iteracao 27,0.003754,0.0034,0.0035
28,Iteracao 28,0.009831,0.0091,0.0091
29,Iteracao 29,0.003786,0.0035,0.0035
30,Iteracao 30,0.002345,0.0022,0.0021
31,Iteracao 31,0.002958,0.0027,0.0027
32,Iteracao 32,0.001903,0.0018,0.0017
33,Iteracao 33,0.001969,0.0018,0.0017
34,Iteracao 34,0.002302,0.0021,0.0021
35,Iteracao 35,0.00341,0.0031,0.0031
36,Iteracao 36,0.003162,0.0029,0.0029
37,Iteracao 37,0.002301,0.0021,0.0021
38,Iteracao 38,0.006486,0.006,0.006
39,Iteracao 39,0.002237,0.0021,0.002
40,Iteracao 40,0.004012,0.0038,0.0037
41,Iteracao 41,0.002108,0.0019,0.0019
42,Iteracao 42,0.004518,0.0043,0.004
43,Iteracao 43,0.038507,0.0362,0.0367
44,Iteracao 44,0.008175,0.0073,0.0082
45,Iteracao 45,0.01265,0.0119,0.0113
46,Iteracao 46,0.003023,0.0029,0.0031
47,Iteracao 47,0.003238,0.003,0.0027
48,Iteracao 48,0.00995,0.009,0.009
49,Iteracao 49,0.005281,0.0057,0.0058
50,Iteracao 50,0.021921,0.0204,0.0209
51,Iteracao 51,0.033054,0.031,0.0307
52,Iteracao 52,0.010928,0.01,0.0101
53,Iteracao 53,0.009713,0.0093,0.009
54,Iteracao 54,0.03499,0.0323,0.032
55,Iteracao 55,0.005099,0.0047,0.0047
56,Iteracao 56,0.004259,0.0038,0.0038
57,Iteracao 57,0.02603,0.0242,0.0235
58,Iteracao 58,0.004539,0.0042,0.0041
59,Iteracao 59,0.004948,0.0046,0.0045
60,Iteracao 60,0.019501,0.0182,0.0182
61,Iteracao 61,0.008691,0.0068,0.0056
62,Iteracao 62,0.119749,0.1132,0.1147
63,Iteracao 63,0.005163,0.0047,0.0053
64,Iteracao 64,0.075025,0.0718,0.0723
65,Iteracao 65,0.289955,0.2703,0.2709
66,Iteracao 66,0.005647,0.0052,0.0051
67,Iteracao 67,0.010788,0.01,0.01
68,Iteracao 68,0.029052,0.0271,0.0271
69,Iteracao 69,0.006002,0.0055,0.0053
70,Iteracao 70,0.041627,0.0389,0.0391
71,Iteracao 71,0.00512,0.0049,0.0048
72,Iteracao 72,0.003474,0.0032,0.0036
73,Iteracao 73,0.272627,0.2602,0.2614
74,Iteracao 74,0.040142,0.0313,0.0204
75,Iteracao 75,0.043918,0.0394,0.038
76,Iteracao 76,0.371693,0.345,0.3368
77,Iteracao 77,0.12118,0.1137,0.1143
78,Iteracao 78,0.028859,0.027,0.0274
79,Iteracao 79,0.007411,0.0069,0.007
80,Iteracao 80,0.003119,0.0028,0.0029
81,Iteracao 81,0.01409,0.0131,0.0133
82,Iteracao 82,0.00384,0.0035,0.0035
83,Iteracao 83,0.007755,0.0072,0.0073
84,Iteracao 84,0.005055,0.0047,0.0047
85,Iteracao 85,0.010218,0.0097,0.0095
86,Iteracao 86,0.011101,0.0103,0.0104
87,Iteracao 87,0.00526,0.0048,0.0048
88,Iteracao 88,0.007057,0.0066,0.0065
89,Iteracao 89,0.003517,0.0033,0.0032
90,Iteracao 90,0.002872,0.0027,0.0026
91,Iteracao 91,0.004797,0.0041,0.0041
92,Iteracao 92,0.004044,0.0038,0.0037
93,Iteracao 93,0.002421,0.0022,0.002
94,Iteracao 94,0.002464,0.0023,0.0022
95,Iteracao 95,0.005346,0.005,0.0048
96,Iteracao 96,0.002646,0.0024,0.0024
97,Iteracao 97,0.003657,0.0033,0.0034
98,Iteracao 98,0.011778,0.0109,0.011
99,Iteracao 99,0.004635,0.0043,0.0044
100,Iteracao 100,0.004571,0.0043,0.0044
101,Iteracao 101,0.007992,0.0075,0.0074
102,Iteracao 102,0.007572,0.0071,0.0071
103,Iteracao 103,0.00328,0.0033,0.0032
104,Iteracao 104,0.075476,0.0713,0.0719
105,Iteracao 105,0.004001,0.0036,0.0034
106,Iteracao 106,0.00298,0.0029,0.0028
107,Iteracao 107,0.037012,0.0358,0.0369
