n,Resultado,Tempo_Relogio(ms),Tempo_CPU_Usuario(ms),Tempo_CPU_Sistema(ms)
0,Iteracao 0,0.011944,0.0111,0.011
1,Iteracao 1,0.060769,0.0557,0.0553
2,Iteracao 2,0.002644,0.0024,0.0024
3,Iteracao 3,0.003367,0.003,0.0031
4,Iteracao 4,0.002676,0.0025,0.0024
5,Iteracao 5,0.007046,0.0065,0.0065
6,Iteracao 6,0.001964,0.0018,0.0018
7,Iteracao 7,0.005254,0.0048,0.0048
8,Iteracao 8,0.001845,0.0017,0.0017
9,Iteracao 9,0.004737,0.0044,0.0044
10,Iteracao 10,0.004866,0.0045,0.0045
11,Iteracao 11,0.010736,0.01,0.01
12,Iteracao 12,0.002449,0.0022,0.0023
13,Iteracao 13,0.001737,0.0016,0.0015
14,Iteracao 14,0.002805,0.0026,0.0026
15,Iteracao 15,0.004057,0.0037,0.0037
16,Iteracao 16,0.001964,0.0018,0.0017
17,Iteracao 17,0.00205,0.0019,0.0018
18,Iteracao 18,0.002719,0.0025,0.0025
19,Iteracao 19,0.002051,0.0019,0.0019
20,Iteracao 20,0.00218,0.002,0.002
21,Iteracao 21,0.004629,0.0043,0.0042
22,Iteracao 22,0.014221,0.0133,0.0132
23,Iteracao 23,0.002018,0.0018,0.0017
24,Iteracao 24,0.002525,0.0024,0.0023
25,Iteracao 25,0.001673,0.0016,0.0015
26,Iteracao 26,0.002848,0.0026,0.0027
27,Iteracao 27,0.003096,0.0028,0.0028
28,Iteracao 28,0.003075,0.0028,0.0028
29,Iteracao 29,0.003744,0.0035,0.0034
30,Iteracao 30,0.001964,0.0018,0.0017
31,Iteracao 31,0.002589,0.0024,0.0024
32,Iteracao 32,0.001661,0.0015,0.0015
33,Iteracao 33,0.002018,0.0018,0.0019
34,Iteracao 34,0.002168,0.002,0.002
35,Iteracao 35,0.003474,0.0032,0.0032
36,Iteracao 36,0.002956,0.0028,0.0027
37,Iteracao 37,0.001985,0.0018,0.0018
38,Iteracao 38,0.006798,0.0063,0.0063
39,Iteracao 39,0.001899,0.0017,0.0018
40,Iteracao 40,0.008999,0.0084,0.0084
41,Iteracao 41,0.001856,0.0017,0.0016
